model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
snn-ae latency recurrent 1.000000 0.900000 0.0009 0.0013 0.8887 0.0000 0.5070 407579.0000 1591.4733 323111.3812 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.0004 0.0009 0.9051 0.0000 0.4876 406086.6000 2319.8178 273307.3109 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0001 0.0066 -5.7232 0.0000 0.5070 407580.0000 1948.2425 95456.3836 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.0001 0.0057 -4.0420 0.0000 0.5164 408300.0000 2034.7122 117023.1906 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.0000 0.0014 -1.8230 0.0000 0.5188 408480.0000 2756.5279 145534.5875 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.800000 0.0538 0.1561 -2.0983 0.0000 0.5243 408904.8000 20.8114 23535.8230 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.900000 0.0713 0.1921 -3.1099 0.0000 0.5239 408876.0000 29.8877 22244.5941 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.990000 0.0875 0.2182 -4.0454 0.0000 0.5197 408549.2000 14.5305 20741.9387 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.800000 0.0247 0.0998 -0.4208 0.0000 0.5245 408925.2000 30.9858 35721.2566 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.900000 0.0536 0.1580 -2.0890 0.0000 0.5286 409234.0000 23.0786 63865.7586 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.990000 0.0726 0.1882 -3.1820 0.0000 0.5267 409087.4000 14.8760 31777.1637 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.800000 0.0150 0.0702 0.1345 0.0000 0.5290 409266.8000 15.8254 50856.4336 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.900000 0.0386 0.1353 -1.2262 0.0000 0.5191 408503.2000 15.6225 24568.8047 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.990000 0.0798 0.2002 -3.5967 0.0000 0.5176 408389.6000 29.1736 22224.6988 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.800000 0.0517 0.1627 -0.9098 0.0000 0.5091 407736.4000 14.7678 19372.7430 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.900000 0.0779 0.2025 -1.8764 0.0000 0.5142 408128.8000 19.9471 20314.6047 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.990000 0.1510 0.2969 -4.5790 0.0000 0.5132 408052.2000 14.4921 17594.9629 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.800000 0.0181 0.0828 0.3322 0.0000 0.5168 408332.8000 13.3443 19457.2012 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.900000 0.0536 0.1633 -0.9795 0.0000 0.5163 408295.0000 12.8148 19182.8492 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.990000 0.1090 0.2459 -3.0265 0.0000 0.5069 407567.2000 12.8104 17901.1000 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.800000 0.0090 0.0505 0.6663 0.0000 0.5156 467522.8750 25.0380 29195.7468 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.900000 0.0382 0.1321 -0.4104 0.0000 0.5116 407930.6000 22.2682 20643.4113 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.990000 0.0934 0.2247 -2.4508 0.0000 0.5218 408715.6000 21.1652 17195.9104 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.800000 0.0471 0.1480 -0.3265 0.0000 0.5118 407945.4000 1096.1587 102588.3500 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.900000 0.0678 0.1847 -0.6782 0.0000 0.5234 408837.0000 1578.4375 106554.8609 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.990000 0.1310 0.2676 -1.6657 0.0000 0.5280 409191.2000 1073.1535 117912.2109 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.800000 0.0227 0.0977 -0.2484 0.0000 0.5056 407469.4000 1541.9108 92315.3094 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.900000 0.0458 0.1415 -1.2284 0.0000 0.5053 407445.0000 1127.1005 76484.1430 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.990000 0.1288 0.2550 -4.5044 0.0000 0.5088 407717.0000 1104.7027 109690.9594 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.800000 0.0084 0.0471 0.2004 0.0000 0.5007 451008.1429 1215.8633 170680.9978 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.900000 0.0149 0.0657 -0.1988 0.0000 0.5026 407239.6000 1381.8049 166233.8781 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.990000 0.0980 0.2247 -5.2421 0.0000 0.5131 408046.2000 1222.8211 86757.2602 37286.0000 36864.0000
transformer-ae direct transformer 0.000000 0.000000 0.0022 0.0094 0.9978 0.0000 0.0000 47554560.0000 309.6442 61677.6992 139176.0000 4755456.0000
transformer-ae latency transformer 0.000000 0.000000 0.0000 0.0006 0.9944 0.0000 0.0000 47554560.0000 450.2777 168310.0109 139176.0000 4755456.0000
transformer-ae poisson transformer 0.000000 0.000000 0.0013 0.0037 0.9506 0.0000 0.0000 47554560.0000 277.6104 126650.5109 139176.0000 4755456.0000
