model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
snn-ae direct dense 1.000000 0.800000 0.1578 0.2361 0.8422 0.3892 0.1553 380566.2000 11.4061 19562.0744 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.900000 0.1336 0.2157 0.8664 0.2437 0.1248 378226.6000 12.6785 18476.6715 37286.0000 36864.0000
snn-ae direct dense 1.000000 0.990000 0.1285 0.2052 0.8715 0.1270 0.0937 375838.2000 11.3069 21390.3937 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.800000 0.1446 0.2269 0.8554 0.3199 0.1499 380153.2000 11.3701 16556.2049 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.900000 0.1383 0.2195 0.8617 0.2355 0.1288 378535.4000 11.2421 16369.0570 37286.0000 36864.0000
snn-ae direct dense 1.500000 0.990000 0.1300 0.2095 0.8700 0.1604 0.1009 376386.0000 12.8138 20911.8839 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.800000 0.0577 0.1030 0.4913 0.0577 0.5300 409343.6000 887.8414 54137.0531 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.900000 0.0349 0.0705 0.7002 0.0150 0.5251 408964.6000 797.5237 67389.8383 37286.0000 36864.0000
snn-ae direct recurrent 0.500000 0.990000 0.0343 0.0612 0.7293 0.0000 0.6221 447512.0000 918.2691 85387.3607 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.800000 0.0314 0.0649 0.6281 0.0075 0.5266 409081.8000 916.6234 75679.2785 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.900000 0.0139 0.0308 0.8524 0.0077 0.5778 413013.6000 1013.7643 93660.7898 37286.0000 36864.0000
snn-ae direct recurrent 1.000000 0.990000 0.0403 0.0663 0.4759 0.0000 0.5736 479376.5000 1198.0555 170048.5957 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.800000 0.0238 0.0502 0.6451 0.0077 0.5652 412046.2000 977.3126 139301.5320 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.900000 0.0352 0.0578 0.5433 0.0000 0.5372 438626.0000 1143.1223 133950.0651 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.990000 0.0113 0.0379 0.8794 0.0278 0.5569 411408.6000 1306.4615 149384.4625 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.800000 0.0345 0.0834 0.6398 0.0000 0.6206 416303.6000 13.7212 18019.1303 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.900000 0.0366 0.0897 0.6173 0.0421 0.6219 416398.2000 14.1409 25134.6084 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.990000 0.0788 0.1467 0.1767 0.1962 0.6673 419886.4000 18.8417 12955.3752 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.800000 0.0246 0.0653 0.7425 0.0000 0.6062 415196.4000 13.1981 21436.4813 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.900000 0.0317 0.0710 0.6688 0.0000 0.6005 414761.4000 19.7027 18427.2152 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.990000 0.0848 0.1405 0.1144 0.2687 0.6825 421054.2000 13.5409 10907.3657 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.800000 0.0579 0.1184 0.6494 0.0000 0.6419 512490.0000 19.2810 21301.3024 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.900000 0.0275 0.0668 0.7124 0.0000 0.6219 416402.8000 14.1227 20136.7367 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.990000 0.0593 0.1193 0.3801 0.1154 0.6404 417821.4000 13.2973 14652.9201 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.0378 0.0775 0.6360 0.0000 0.6258 416700.0000 12.5108 19952.6756 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.0454 0.0928 0.5624 0.0000 0.6400 417788.8000 11.6795 14878.3639 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.0694 0.1232 0.3317 0.0853 0.6582 419186.6000 13.0550 13885.3447 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.0323 0.0750 0.6885 0.0078 0.6188 416163.4000 12.0822 21490.5158 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.0379 0.0856 0.6354 0.0000 0.6502 418574.2000 12.3980 18145.0332 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.0820 0.1433 0.2104 0.2731 0.6673 419887.4000 13.2321 12611.4151 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.0272 0.0668 0.7377 0.0000 0.5887 413849.0000 30.7670 21348.2934 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.0345 0.0757 0.6681 0.0000 0.6167 416002.2000 12.3600 18442.8846 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.0630 0.1167 0.3934 0.0736 0.6585 419211.6000 18.4279 14649.2831 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0381 0.0859 0.6507 0.0000 0.6093 415432.4000 872.2006 91001.1359 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0387 0.0872 0.6587 0.0000 0.6537 418846.6000 995.7962 97886.3930 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0744 0.1322 0.3718 0.1477 0.6707 420151.6000 948.6925 67934.7008 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.0407 0.0966 0.4927 0.0000 0.5966 414457.2000 938.1597 99014.0844 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.900000 0.0418 0.0886 0.5351 0.0000 0.6108 415552.6000 901.7399 129236.7844 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.0677 0.1252 0.3247 0.1333 0.6585 419216.0000 892.0185 71983.0516 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0368 0.0789 0.4998 0.0000 0.5637 442646.5000 962.3320 131297.1406 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.0368 0.0919 0.3578 0.0000 0.5887 413850.4000 932.7650 93209.5883 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.0592 0.1316 0.1237 0.0492 0.6336 417303.4000 866.7548 105645.7875 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.800000 0.0422 0.1328 -1.1393 0.2004 0.5152 408208.0000 12.8979 17804.3434 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.900000 0.0729 0.1870 -2.6929 0.3507 0.5318 409486.0000 13.4770 15374.6762 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.990000 0.0714 0.1813 -2.6105 0.4107 0.5284 409222.2000 13.7812 14178.3703 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.800000 0.0329 0.1149 -0.6684 0.1078 0.5183 408444.0000 13.9295 21378.0109 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.900000 0.0646 0.1777 -2.2696 0.2781 0.5099 407802.0000 13.3061 19169.8279 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.990000 0.0582 0.1632 -1.9511 0.3300 0.5272 409130.2000 13.2887 15414.2672 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.800000 0.0395 0.1059 -0.1177 0.0111 0.5214 455529.2857 14.5763 23643.5430 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.900000 0.0420 0.1338 -1.1306 0.1408 0.5247 408935.0000 13.6785 16385.8416 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.990000 0.0627 0.1671 -2.1707 0.2884 0.5346 409696.4000 13.0407 15221.6928 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.800000 0.0605 0.1641 -0.7878 0.2244 0.5055 407459.0000 12.5141 13543.7367 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.900000 0.0732 0.1859 -1.1664 0.3025 0.5114 407918.8000 11.7811 12459.6562 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.990000 0.1357 0.2610 -3.0117 0.5402 0.5206 408618.4000 12.1482 14539.6465 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.800000 0.0287 0.0953 0.1515 0.0704 0.5076 407624.6000 11.9173 16310.0326 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.900000 0.0571 0.1562 -0.6893 0.2261 0.5049 407412.6000 11.8018 14614.6895 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.990000 0.1294 0.2607 -2.8260 0.5538 0.5157 408246.6000 12.2783 14331.6414 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.800000 0.0195 0.0676 0.4242 0.0077 0.5045 407386.6000 12.3729 18671.0398 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.900000 0.0456 0.1379 -0.3477 0.0975 0.5085 407695.8000 12.8986 13315.8717 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.990000 0.1135 0.2404 -2.3589 0.5127 0.5263 409057.8000 12.1279 13394.4867 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.800000 0.0578 0.1580 -0.3499 0.2662 0.5139 408105.8000 758.3040 61659.6805 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.900000 0.0881 0.1981 -0.8144 0.4128 0.5196 408544.4000 748.3143 53392.2156 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.990000 0.1281 0.2515 -1.0981 0.5047 0.5385 410000.2000 729.9004 58770.2344 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.800000 0.0222 0.0837 0.0156 0.0000 0.5035 407307.0000 730.6781 60466.5578 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.900000 0.0435 0.1318 -0.7372 0.1986 0.5119 407956.8000 752.0240 58874.6922 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.990000 0.1484 0.2643 -3.9213 0.5306 0.5220 408732.0000 772.7276 72660.8836 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.800000 0.0300 0.0783 -0.2591 0.0280 0.5041 465869.7500 752.5131 101997.1572 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.900000 0.0190 0.0735 -0.3834 0.0207 0.5068 407559.4000 726.1882 98032.2000 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.990000 0.0845 0.1966 -3.4659 0.3821 0.5149 408181.8000 739.1082 46042.8586 37286.0000 36864.0000
transformer-ae direct transformer 0.000000 0.000000 0.7410 0.4376 0.2591 0.0000 0.0000 47554560.0000 256.9347 68835.4047 139176.0000 4755456.0000
transformer-ae latency transformer 0.000000 0.000000 0.0787 0.1105 0.6118 0.0000 0.0000 47554560.0000 240.8556 160934.3094 139176.0000 4755456.0000
transformer-ae poisson transformer 0.000000 0.000000 0.0541 0.0589 0.3188 0.0000 0.0000 47554560.0000 198.7566 112058.2797 139176.0000 4755456.0000
