model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
snn-ae latency conv1d 0.500000 0.900000 0.0384 0.0873 0.5867 0.0000 0.6767 420610.8000 14.1301 19492.2799 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.990000 0.0439 0.0990 0.5270 0.0000 0.6992 422337.0000 15.5466 29735.4422 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.800000 0.0225 0.0641 0.7576 0.0000 0.6014 414830.6000 15.4930 21270.7418 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.900000 0.0268 0.0695 0.7111 0.0000 0.6331 417258.8000 16.1073 68943.2963 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.990000 0.0583 0.1188 0.3721 0.0000 0.7176 423755.0000 25.8985 31913.7242 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.800000 0.0459 0.0965 0.6917 0.0000 0.6390 479313.2857 16.4629 21267.7422 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.900000 0.0253 0.0715 0.7273 0.0000 0.6311 417109.2000 51.8128 22863.6623 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.990000 0.0549 0.1074 0.4084 0.0000 0.6919 421780.2000 15.3257 22628.0025 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.0330 0.0787 0.6750 0.0000 0.6371 417566.2000 26.6935 17910.6650 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.0432 0.0907 0.5742 0.0000 0.6581 419178.4000 12.8451 18377.4551 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.0683 0.1307 0.3274 0.0000 0.7373 425263.6000 17.1751 20374.3173 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.0313 0.0726 0.6921 0.0000 0.6308 417087.6000 14.5894 20965.4834 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.0346 0.0766 0.6592 0.0000 0.6726 420296.0000 13.2733 17193.9971 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.0481 0.1033 0.5260 0.0000 0.6875 421443.2000 23.7474 20141.2879 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.0263 0.0669 0.7410 0.0000 0.6151 415880.0000 15.0063 19183.3162 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.0336 0.0816 0.6694 0.0000 0.6376 417611.4000 17.2006 20435.7539 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.0605 0.1153 0.4042 0.0000 0.6803 420883.2000 15.2517 21678.5012 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0327 0.0751 0.6932 0.0000 0.6014 414829.2000 1152.5996 111440.8906 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0365 0.0837 0.6705 0.0000 0.6568 419079.4000 1034.3705 254777.1172 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0792 0.1555 0.3183 0.0000 0.7034 422661.2000 1005.4204 113567.2070 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.0332 0.0856 0.5748 0.0000 0.5815 413302.4000 1000.1873 130425.1398 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.900000 0.0399 0.0889 0.5454 0.0074 0.6146 415838.8000 941.8104 105580.2781 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.0446 0.0961 0.5462 0.0000 0.7175 423741.4000 993.8752 102844.9812 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0536 0.1004 0.4563 0.0000 0.5731 482516.6250 1108.8222 93048.4556 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.0326 0.0896 0.4150 0.0000 0.6105 415523.6000 993.8329 105473.2578 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.0559 0.1233 0.1488 0.0000 0.6623 419503.0000 954.9847 69083.6906 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.800000 0.0478 0.1515 -1.5896 0.2254 0.5283 409211.2000 16.0902 22674.3563 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.900000 0.0663 0.1831 -2.5923 0.3028 0.5454 410528.2000 15.0610 21276.6666 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.990000 0.0786 0.1881 -3.2525 0.4248 0.5684 412293.2000 39.5353 19676.8523 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.800000 0.0329 0.1096 -0.7812 0.1926 0.5365 409845.6000 23.8517 29243.1102 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.900000 0.0602 0.1704 -2.2661 0.2867 0.5111 407895.4000 28.5951 25379.7480 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.990000 0.0919 0.2101 -3.9760 0.4839 0.5633 411900.4000 17.8424 19308.7648 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.800000 0.0320 0.0980 -0.1261 0.0000 0.5374 434505.6667 16.5218 31828.0859 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.900000 0.0375 0.1256 -1.0325 0.1585 0.5227 408784.4000 30.7289 26219.2406 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.990000 0.0672 0.1701 -2.6419 0.3009 0.5495 410838.6000 14.8751 21055.2109 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.800000 0.0562 0.1603 -0.7800 0.2481 0.5077 407634.0000 16.6713 35969.9689 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.900000 0.0663 0.1778 -1.0983 0.3124 0.5117 407936.8000 16.2829 22537.0447 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.990000 0.1329 0.2623 -3.2052 0.5130 0.5202 408588.6000 13.7490 25397.0721 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.800000 0.0245 0.0879 0.2251 0.0379 0.5064 407529.8000 16.4027 21833.3551 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.900000 0.0471 0.1387 -0.4894 0.1667 0.5069 407573.0000 18.0796 22988.2141 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.990000 0.1263 0.2615 -2.9998 0.5679 0.5126 408004.2000 23.9864 22155.7029 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.800000 0.0181 0.0660 0.4263 0.0226 0.4839 405800.8000 20.0632 25905.4715 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.900000 0.0415 0.1311 -0.3149 0.0774 0.5110 407886.6000 19.4427 19314.3205 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.990000 0.1327 0.2652 -3.2038 0.5669 0.5241 408892.0000 13.1462 19747.0344 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.800000 0.0555 0.1552 -0.3804 0.2626 0.5202 408590.4000 998.3476 93290.6891 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.900000 0.0838 0.1913 -0.8464 0.3883 0.5346 409698.4000 971.3712 76534.0437 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.990000 0.1572 0.2876 -1.7534 0.5819 0.5474 410679.6000 923.1273 90359.9937 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.800000 0.0214 0.0815 -0.0168 0.0361 0.5028 407253.0000 1025.3253 87152.6562 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.900000 0.0485 0.1461 -1.0679 0.2665 0.5157 408242.8000 1015.6362 95757.2180 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.990000 0.1483 0.2742 -4.3110 0.5340 0.5274 409145.8000 911.4235 110712.5859 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.800000 0.0315 0.0843 -0.3381 0.0087 0.5104 477609.6667 1382.1551 167318.0660 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.900000 0.0171 0.0660 -0.3372 0.0355 0.5152 408207.0000 847.0859 146569.3594 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.990000 0.0814 0.1978 -3.6341 0.4164 0.5095 407771.0000 1161.9506 81304.6555 37286.0000 36864.0000
transformer-ae direct transformer 0.000000 0.000000 0.4910 0.3739 0.5089 0.0000 0.0000 47554560.0000 236.7284 74583.3547 139176.0000 4755456.0000
transformer-ae latency transformer 0.000000 0.000000 0.0628 0.1025 0.6728 0.0000 0.0000 47554560.0000 234.9784 116275.5734 139176.0000 4755456.0000
transformer-ae poisson transformer 0.000000 0.000000 0.0482 0.0557 0.3589 0.0000 0.0000 47554560.0000 316.5925 235310.1031 139176.0000 4755456.0000
