model encoding architecture v_th alpha mse mae r2 f1 spike_rate energy infer_ms train_ms param_count macs
snn-ae direct recurrent 1.500000 0.800000 0.0002 0.0057 0.9975 0.0000 0.4300 401663.4000 985.3360 98554.8297 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.900000 0.0862 0.1024 0.0438 0.0000 0.5101 468068.1250 1039.6497 92764.0254 37286.0000 36864.0000
snn-ae direct recurrent 1.500000 0.990000 0.0041 0.0268 0.9578 0.0000 0.5545 411226.2000 993.5467 97183.0539 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.800000 0.0265 0.0599 0.5690 0.0000 0.5607 444682.8333 12.6275 10616.1673 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.900000 0.0091 0.0325 0.6094 0.0000 0.6586 419224.0000 12.6953 10482.2142 37286.0000 36864.0000
snn-ae latency conv1d 0.500000 0.990000 0.0134 0.0373 0.4242 0.0000 0.6064 415207.8000 12.3054 21507.0924 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.800000 0.0138 0.0596 0.4078 0.0074 0.5359 409794.6000 12.8486 11748.8883 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.900000 0.0125 0.0405 0.4626 0.0075 0.5752 412812.2000 12.8705 8727.0253 37286.0000 36864.0000
snn-ae latency conv1d 1.000000 0.990000 0.0108 0.0341 0.5372 0.0000 0.6098 415471.0000 13.2343 18925.8852 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.800000 0.0501 0.1094 0.4053 0.0000 0.5822 488080.1250 31.5889 18827.5493 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.900000 0.0230 0.0481 0.7102 0.0000 0.5665 444104.5000 39.4567 12246.0675 37286.0000 36864.0000
snn-ae latency conv1d 1.500000 0.990000 0.0104 0.0335 0.5517 0.0000 0.6172 416043.2000 12.1664 19857.1118 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.800000 0.0118 0.0475 0.5736 0.0000 0.6086 415383.4000 21.1723 9680.5442 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.900000 0.0103 0.0337 0.6266 0.0000 0.6545 418901.8000 12.4999 8193.6957 37286.0000 36864.0000
snn-ae latency dense 0.500000 0.990000 0.0159 0.0404 0.4242 0.0078 0.6084 415361.8000 24.1289 18719.0391 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.800000 0.0094 0.0408 0.6599 0.0000 0.5571 411423.4000 20.4752 9541.6989 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.900000 0.0072 0.0251 0.7387 0.0000 0.5813 413280.2000 11.4710 8802.2700 37286.0000 36864.0000
snn-ae latency dense 1.000000 0.990000 0.0141 0.0406 0.4903 0.0000 0.6403 417815.0000 11.3714 13539.4933 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.800000 0.0258 0.0894 0.0687 0.0387 0.5029 407265.8000 11.2886 19028.6797 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.900000 0.0105 0.0412 0.6218 0.0000 0.5473 410675.6000 11.2709 10025.0094 37286.0000 36864.0000
snn-ae latency dense 1.500000 0.990000 0.0122 0.0386 0.5598 0.0000 0.6960 422091.2000 11.3240 13001.6938 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.800000 0.0140 0.0544 0.5065 0.0000 0.5494 410835.4000 987.0665 41023.0953 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.900000 0.0117 0.0413 0.5936 0.0000 0.6373 417582.2000 980.7719 62020.2055 37286.0000 36864.0000
snn-ae latency recurrent 0.500000 0.990000 0.0189 0.0462 0.3608 0.0078 0.5635 411918.8000 1014.8714 105056.2422 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.800000 0.0145 0.0599 0.3211 0.0000 0.5060 407504.4000 1039.4254 94877.0492 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.900000 0.0094 0.0288 0.5964 0.0000 0.5638 411938.2000 1030.1360 43802.7016 37286.0000 36864.0000
snn-ae latency recurrent 1.000000 0.990000 0.0135 0.0428 0.4391 0.0000 0.6776 420683.4000 1039.4382 61487.2055 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.800000 0.0128 0.0579 -0.1723 0.0000 0.4952 406669.2000 1007.6817 94355.6344 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.900000 0.0116 0.0495 0.0255 0.0000 0.5389 410025.8000 1039.8379 62885.6305 37286.0000 36864.0000
snn-ae latency recurrent 1.500000 0.990000 0.0124 0.0397 0.1261 0.0000 0.6806 420909.0000 962.7060 38362.8102 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.800000 0.0381 0.1316 -1.3641 0.1485 0.5275 409151.8000 25.9165 39490.5750 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.900000 0.0583 0.1626 -2.6137 0.3284 0.5602 411661.6000 17.0950 24667.3422 37286.0000 36864.0000
snn-ae poisson conv1d 0.500000 0.990000 0.0573 0.1546 -2.5601 0.3414 0.5904 413985.6000 17.6994 23744.2398 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.800000 0.0329 0.1145 -1.0448 0.1602 0.5241 408890.8000 18.5216 35406.6254 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.900000 0.0554 0.1560 -2.4400 0.2124 0.5252 408974.4000 50.5432 32949.2660 37286.0000 36864.0000
snn-ae poisson conv1d 1.000000 0.990000 0.0508 0.1537 -2.1542 0.2736 0.5727 412626.8000 21.6533 27038.1152 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.800000 0.0132 0.0681 0.1802 0.0078 0.5042 407365.0000 14.8325 38206.9223 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.900000 0.0338 0.1228 -1.0988 0.1097 0.5145 408154.2000 15.3295 28188.1758 37286.0000 36864.0000
snn-ae poisson conv1d 1.500000 0.990000 0.0513 0.1488 -2.1822 0.2821 0.5694 412366.8000 17.1829 24497.8086 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.800000 0.0463 0.1423 -0.7939 0.2283 0.5064 407532.2000 17.2852 29856.8937 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.900000 0.0642 0.1803 -1.4905 0.3613 0.5079 407643.6000 37.0752 22337.3066 37286.0000 36864.0000
snn-ae poisson dense 0.500000 0.990000 0.1230 0.2558 -3.7680 0.5403 0.5281 409201.6000 14.1677 38237.1354 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.800000 0.0205 0.0920 0.2060 0.0151 0.5039 407341.2000 14.2349 27510.7715 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.900000 0.0466 0.1479 -0.8067 0.2269 0.5098 407791.6000 24.4218 26531.2621 37286.0000 36864.0000
snn-ae poisson dense 1.000000 0.990000 0.1042 0.2359 -3.0421 0.5107 0.5145 408151.8000 14.9942 35459.4211 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.800000 0.0107 0.0585 0.5856 0.0075 0.5092 407746.2000 13.6021 28069.1242 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.900000 0.0354 0.1296 -0.3709 0.0938 0.5063 407520.4000 15.8582 28140.6715 37286.0000 36864.0000
snn-ae poisson dense 1.500000 0.990000 0.1103 0.2420 -3.2775 0.5472 0.5206 408622.6000 14.7938 34406.0775 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.800000 0.0518 0.1545 -0.5243 0.2782 0.5313 409444.0000 1239.2452 101344.3656 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.900000 0.0596 0.1568 -0.5547 0.3110 0.5340 409654.0000 1304.4469 101199.6828 37286.0000 36864.0000
snn-ae poisson recurrent 0.500000 0.990000 0.1123 0.2382 -1.4060 0.5002 0.5556 411309.8000 1397.4070 163473.4062 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.800000 0.0127 0.0649 0.2649 0.0000 0.5052 407438.8000 1551.0113 171483.7969 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.900000 0.0442 0.1418 -1.2588 0.2365 0.5148 408179.6000 1364.3954 124724.9078 37286.0000 36864.0000
snn-ae poisson recurrent 1.000000 0.990000 0.1290 0.2444 -4.8477 0.5151 0.5294 409298.8000 1353.4044 124418.6687 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.800000 0.0358 0.0825 -0.1128 0.0078 0.5069 484716.7000 2109.7909 172999.1672 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.900000 0.0156 0.0675 -0.3462 0.0221 0.5118 407949.6000 1110.8101 147101.3594 37286.0000 36864.0000
snn-ae poisson recurrent 1.500000 0.990000 0.0944 0.2147 -5.3917 0.3545 0.5054 407451.6000 1061.0316 101739.7906 37286.0000 36864.0000
transformer-ae direct transformer 0.000000 0.000000 0.6570 0.3507 0.3429 0.0000 0.0000 47554560.0000 253.6908 49272.6039 139176.0000 4755456.0000
transformer-ae latency transformer 0.000000 0.000000 0.0574 0.0871 0.6924 0.0000 0.0000 47554560.0000 246.5120 107253.3359 139176.0000 4755456.0000
transformer-ae poisson transformer 0.000000 0.000000 0.0528 0.0657 0.4680 0.0000 0.0000 47554560.0000 342.1825 199932.7609 139176.0000 4755456.0000
