Rank,Profile,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error
54,20260413_053437_audio-window-snn_grid_177_lr0_0005_bs16_hs128_ls32_mae,audio-window,mae,0.0005,16,128,32,0.712821,0.707847,0.707847,0.707847,8,Success,
55,20260413_020921_audio-window-snn_grid_111_lr0_0003_bs32_hs32_ls32_mae,audio-window,mae,0.0003,32,32,32,0.710367,0.708554,0.708554,0.708554,8,Success,
56,20260413_021155_audio-window-snn_grid_117_lr0_0003_bs32_hs64_ls32_mae,audio-window,mae,0.0003,32,64,32,0.710367,0.708554,0.708554,0.708554,8,Success,
57,20260413_021419_audio-window-snn_grid_123_lr0_0003_bs32_hs128_ls32_mae,audio-window,mae,0.0003,32,128,32,0.710367,0.708554,0.708554,0.708554,8,Success,
58,20260413_021637_audio-window-snn_grid_129_lr0_0003_bs64_hs32_ls32_mae,audio-window,mae,0.0003,64,32,32,0.710367,0.708554,0.708554,0.708554,8,Success,
59,20260413_021909_audio-window-snn_grid_135_lr0_0003_bs64_hs64_ls32_mae,audio-window,mae,0.0003,64,64,32,0.710367,0.708554,0.708554,0.708554,8,Success,
60,20260413_022209_audio-window-snn_grid_141_lr0_0003_bs64_hs128_ls32_mae,audio-window,mae,0.0003,64,128,32,0.710367,0.708554,0.708554,0.708554,8,Success,
61,20260413_040351_audio-window-snn_grid_111_lr0_0003_bs32_hs32_ls32_mae,audio-window,mae,0.0003,32,32,32,0.710367,0.708554,0.708554,0.708554,8,Success,
62,20260413_041352_audio-window-snn_grid_117_lr0_0003_bs32_hs64_ls32_mae,audio-window,mae,0.0003,32,64,32,0.710367,0.708554,0.708554,0.708554,8,Success,
63,20260413_042354_audio-window-snn_grid_123_lr0_0003_bs32_hs128_ls32_mae,audio-window,mae,0.0003,32,128,32,0.710367,0.708554,0.708554,0.708554,8,Success,
64,20260413_043358_audio-window-snn_grid_129_lr0_0003_bs64_hs32_ls32_mae,audio-window,mae,0.0003,64,32,32,0.710367,0.708554,0.708554,0.708554,8,Success,
65,20260413_044401_audio-window-snn_grid_135_lr0_0003_bs64_hs64_ls32_mae,audio-window,mae,0.0003,64,64,32,0.710367,0.708554,0.708554,0.708554,8,Success,
66,20260413_045403_audio-window-snn_grid_141_lr0_0003_bs64_hs128_ls32_mae,audio-window,mae,0.0003,64,128,32,0.710367,0.708554,0.708554,0.708554,8,Success,
67,20260413_013103_audio-window-snn_grid_041_lr0_0001_bs32_hs32_ls64_mae,audio-window,mae,0.0001,32,32,64,0.710900,0.709470,0.709470,0.709470,8,Success,
68,20260413_014106_audio-window-snn_grid_047_lr0_0001_bs32_hs64_ls64_mae,audio-window,mae,0.0001,32,64,64,0.710900,0.709470,0.709470,0.709470,8,Success,
69,20260413_015217_audio-window-snn_grid_053_lr0_0001_bs32_hs128_ls64_mae,audio-window,mae,0.0001,32,128,64,0.710900,0.709470,0.709470,0.709470,8,Success,
70,20260413_015236_audio-window-snn_grid_059_lr0_0001_bs64_hs32_ls64_mae,audio-window,mae,0.0001,64,32,64,0.710900,0.709470,0.709470,0.709470,8,Success,
71,20260413_015657_audio-window-snn_grid_065_lr0_0001_bs64_hs64_ls64_mae,audio-window,mae,0.0001,64,64,64,0.710900,0.709470,0.709470,0.709470,8,Success,
72,20260413_015800_audio-window-snn_grid_071_lr0_0001_bs64_hs128_ls64_mae,audio-window,mae,0.0001,64,128,64,0.710900,0.709470,0.709470,0.709470,8,Success,
73,20260413_020338_audio-window-snn_grid_053_lr0_0001_bs32_hs128_ls64_mae,audio-window,mae,0.0001,32,128,64,0.710900,0.709470,0.709470,0.709470,8,Success,
74,20260413_023351_audio-window-snn_grid_059_lr0_0001_bs64_hs32_ls64_mae,audio-window,mae,0.0001,64,32,64,0.710900,0.709470,0.709470,0.709470,8,Success,
75,20260413_030326_audio-window-snn_grid_065_lr0_0001_bs64_hs64_ls64_mae,audio-window,mae,0.0001,64,64,64,0.710900,0.709470,0.709470,0.709470,8,Success,
76,20260413_031727_audio-window-snn_grid_071_lr0_0001_bs64_hs128_ls64_mae,audio-window,mae,0.0001,64,128,64,0.710900,0.709470,0.709470,0.709470,8,Success,
77,20260413_012741_audio-window-snn_grid_039_lr0_0001_bs32_hs32_ls32_mae,audio-window,mae,0.0001,32,32,32,0.709831,0.709476,0.709476,0.709476,8,Success,
78,20260413_013745_audio-window-snn_grid_045_lr0_0001_bs32_hs64_ls32_mae,audio-window,mae,0.0001,32,64,32,0.709831,0.709476,0.709476,0.709476,8,Success,
79,20260413_014953_audio-window-snn_grid_051_lr0_0001_bs32_hs128_ls32_mae,audio-window,mae,0.0001,32,128,32,0.709831,0.709476,0.709476,0.709476,8,Success,
80,20260413_015234_audio-window-snn_grid_057_lr0_0001_bs64_hs32_ls32_mae,audio-window,mae,0.0001,64,32,32,0.709831,0.709476,0.709476,0.709476,8,Success,
81,20260413_015333_audio-window-snn_grid_051_lr0_0001_bs32_hs128_ls32_mae,audio-window,mae,0.0001,32,128,32,0.709831,0.709476,0.709476,0.709476,8,Success,
82,20260413_015510_audio-window-snn_grid_063_lr0_0001_bs64_hs64_ls32_mae,audio-window,mae,0.0001,64,64,32,0.709831,0.709476,0.709476,0.709476,8,Success,
83,20260413_015735_audio-window-snn_grid_069_lr0_0001_bs64_hs128_ls32_mae,audio-window,mae,0.0001,64,128,32,0.709831,0.709476,0.709476,0.709476,8,Success,
