Rank,Loss Type,LR,BS,HS,LS,Final Train Loss,Mean Val Loss,Best Val Loss,Epochs
127,mae,0.0001,64,64,16,0.710071,0.710961,0.710961,8
128,mae,0.0001,64,128,16,0.710071,0.710961,0.710961,8
129,mae,0.0001,64,32,16,0.710071,0.710961,0.710961,8
130,mae,0.0001,64,64,16,0.710071,0.710961,0.710961,8
131,mae,0.0001,64,128,16,0.710071,0.710961,0.710961,8
132,mae,0.0003,16,32,32,0.711859,0.711173,0.711173,8
133,mae,0.0003,16,64,32,0.711859,0.711173,0.711173,8
134,mae,0.0003,16,128,32,0.711859,0.711173,0.711173,8
135,mae,0.0003,16,32,32,0.711859,0.711173,0.711173,8
136,mae,0.0003,16,64,32,0.711859,0.711173,0.711173,8
137,mae,0.0003,16,128,32,0.711859,0.711173,0.711173,8
138,mae,0.0010,16,32,64,0.716401,0.713198,0.713198,8
139,mae,0.0010,16,64,64,0.716401,0.713198,0.713198,8
140,mae,0.0010,16,128,64,0.716401,0.713198,0.713198,8
141,mae,0.0010,16,32,64,0.716401,0.713198,0.713198,8
142,mae,0.0010,16,64,64,0.716401,0.713198,0.713198,8
143,mae,0.0010,16,128,64,0.716401,0.713198,0.713198,8
144,mae,0.0001,16,32,16,0.713725,0.713596,0.713596,8
145,mae,0.0001,16,32,32,0.713725,0.713596,0.713596,8
146,mae,0.0001,16,64,16,0.713725,0.713596,0.713596,8
147,mae,0.0001,16,64,32,0.713725,0.713596,0.713596,8
148,mae,0.0001,16,128,16,0.713725,0.713596,0.713596,8
149,mae,0.0001,16,128,32,0.713725,0.713596,0.713596,8
150,mae,0.0001,16,32,64,0.716761,0.714128,0.714128,8
151,mae,0.0001,16,64,64,0.716761,0.714128,0.714128,8
152,mae,0.0001,16,128,64,0.716761,0.714128,0.714128,8
153,mae,0.0005,16,32,64,0.713921,0.715054,0.715054,8
154,mae,0.0005,16,64,64,0.713921,0.715054,0.715054,8
155,mae,0.0005,16,128,64,0.713921,0.715054,0.715054,8
156,mae,0.0005,16,32,64,0.713921,0.715054,0.715054,8
157,mae,0.0005,16,64,64,0.713921,0.715054,0.715054,8
158,mae,0.0005,16,128,64,0.713921,0.715054,0.715054,8
159,mae,0.0005,32,32,16,0.705480,0.715500,0.715500,8
160,mae,0.0005,32,64,16,0.705480,0.715500,0.715500,8
161,mae,0.0005,32,128,16,0.705480,0.715500,0.715500,8
162,mae,0.0005,64,32,16,0.705480,0.715500,0.715500,8
163,mae,0.0005,64,64,16,0.705480,0.715500,0.715500,8
164,mae,0.0005,64,128,16,0.705480,0.715500,0.715500,8
165,mae,0.0005,32,32,16,0.705480,0.715500,0.715500,8
166,mae,0.0005,32,64,16,0.705480,0.715500,0.715500,8
167,mae,0.0005,32,128,16,0.705480,0.715500,0.715500,8
168,mae,0.0005,64,32,16,0.705480,0.715500,0.715500,8
169,mae,0.0005,64,64,16,0.705480,0.715500,0.715500,8
170,mae,0.0005,64,128,16,0.705480,0.715500,0.715500,8
171,mae,0.0003,32,32,64,0.710808,0.715608,0.715608,8
172,mae,0.0003,32,64,64,0.710808,0.715608,0.715608,8
173,mae,0.0003,32,128,64,0.710808,0.715608,0.715608,8
174,mae,0.0003,64,32,64,0.710808,0.715608,0.715608,8
175,mae,0.0003,64,64,64,0.710808,0.715608,0.715608,8
176,mae,0.0003,64,128,64,0.710808,0.715608,0.715608,8
177,mae,0.0003,32,32,64,0.710808,0.715608,0.715608,8
178,mae,0.0003,32,64,64,0.710808,0.715608,0.715608,8
179,mae,0.0003,32,128,64,0.710808,0.715608,0.715608,8
180,mae,0.0003,64,32,64,0.710808,0.715608,0.715608,8
181,mae,0.0003,64,64,64,0.710808,0.715608,0.715608,8
182,mae,0.0003,64,128,64,0.710808,0.715608,0.715608,8
183,mae,0.0005,32,32,64,0.706671,0.715827,0.715827,8
184,mae,0.0005,32,64,64,0.706671,0.715827,0.715827,8
185,mae,0.0005,32,128,64,0.706671,0.715827,0.715827,8
186,mae,0.0005,64,32,64,0.706671,0.715827,0.715827,8
187,mae,0.0005,64,64,64,0.706671,0.715827,0.715827,8
188,mae,0.0005,64,128,64,0.706671,0.715827,0.715827,8
189,mae,0.0005,32,32,64,0.706671,0.715827,0.715827,8
190,mae,0.0005,32,64,64,0.706671,0.715827,0.715827,8
191,mae,0.0005,32,128,64,0.706671,0.715827,0.715827,8
192,mae,0.0005,64,32,64,0.706671,0.715827,0.715827,8
193,mae,0.0005,64,64,64,0.706671,0.715827,0.715827,8
