Rank,Profile,Profile Signature,Modality,Loss Type,LR,BS,HS,LS,Final Train Loss,Final Val Loss,Mean Val Loss,Best Val Loss,Epochs,Status,Error,Duplicate Runs
38,20260413_015657_audio-window-snn_grid_065_lr0_0001_bs64_hs64_ls64_mae,audio-window-snn_grid_065_lr0_0001_bs64_hs64_ls64_mae,audio-window,mae,0.0001,64,64,64,0.710900,0.709470,0.709470,0.709470,8,Success,,2
39,20260413_015800_audio-window-snn_grid_071_lr0_0001_bs64_hs128_ls64_mae,audio-window-snn_grid_071_lr0_0001_bs64_hs128_ls64_mae,audio-window,mae,0.0001,64,128,64,0.710900,0.709470,0.709470,0.709470,8,Success,,2
40,20260413_012741_audio-window-snn_grid_039_lr0_0001_bs32_hs32_ls32_mae,audio-window-snn_grid_039_lr0_0001_bs32_hs32_ls32_mae,audio-window,mae,0.0001,32,32,32,0.709831,0.709476,0.709476,0.709476,8,Success,,1
41,20260413_013745_audio-window-snn_grid_045_lr0_0001_bs32_hs64_ls32_mae,audio-window-snn_grid_045_lr0_0001_bs32_hs64_ls32_mae,audio-window,mae,0.0001,32,64,32,0.709831,0.709476,0.709476,0.709476,8,Success,,1
42,20260413_014953_audio-window-snn_grid_051_lr0_0001_bs32_hs128_ls32_mae,audio-window-snn_grid_051_lr0_0001_bs32_hs128_ls32_mae,audio-window,mae,0.0001,32,128,32,0.709831,0.709476,0.709476,0.709476,8,Success,,2
43,20260413_015234_audio-window-snn_grid_057_lr0_0001_bs64_hs32_ls32_mae,audio-window-snn_grid_057_lr0_0001_bs64_hs32_ls32_mae,audio-window,mae,0.0001,64,32,32,0.709831,0.709476,0.709476,0.709476,8,Success,,2
44,20260413_015510_audio-window-snn_grid_063_lr0_0001_bs64_hs64_ls32_mae,audio-window-snn_grid_063_lr0_0001_bs64_hs64_ls32_mae,audio-window,mae,0.0001,64,64,32,0.709831,0.709476,0.709476,0.709476,8,Success,,2
45,20260413_015735_audio-window-snn_grid_069_lr0_0001_bs64_hs128_ls32_mae,audio-window-snn_grid_069_lr0_0001_bs64_hs128_ls32_mae,audio-window,mae,0.0001,64,128,32,0.709831,0.709476,0.709476,0.709476,8,Success,,2
46,20260413_025736_audio-window-snn_grid_253_lr0_0010_bs32_hs32_ls16_mae,audio-window-snn_grid_253_lr0_0010_bs32_hs32_ls16_mae,audio-window,mae,0.0010,32,32,16,0.713299,0.709691,0.709691,0.709691,8,Success,,2
47,20260413_025936_audio-window-snn_grid_259_lr0_0010_bs32_hs64_ls16_mae,audio-window-snn_grid_259_lr0_0010_bs32_hs64_ls16_mae,audio-window,mae,0.0010,32,64,16,0.713299,0.709691,0.709691,0.709691,8,Success,,2
48,20260413_030217_audio-window-snn_grid_265_lr0_0010_bs32_hs128_ls16_mae,audio-window-snn_grid_265_lr0_0010_bs32_hs128_ls16_mae,audio-window,mae,0.0010,32,128,16,0.713299,0.709691,0.709691,0.709691,8,Success,,2
49,20260413_030405_audio-window-snn_grid_271_lr0_0010_bs64_hs32_ls16_mae,audio-window-snn_grid_271_lr0_0010_bs64_hs32_ls16_mae,audio-window,mae,0.0010,64,32,16,0.713299,0.709691,0.709691,0.709691,8,Success,,2
50,20260413_030705_audio-window-snn_grid_277_lr0_0010_bs64_hs64_ls16_mae,audio-window-snn_grid_277_lr0_0010_bs64_hs64_ls16_mae,audio-window,mae,0.0010,64,64,16,0.713299,0.709691,0.709691,0.709691,8,Success,,2
51,20260413_030915_audio-window-snn_grid_283_lr0_0010_bs64_hs128_ls16_mae,audio-window-snn_grid_283_lr0_0010_bs64_hs128_ls16_mae,audio-window,mae,0.0010,64,128,16,0.713299,0.709691,0.709691,0.709691,8,Success,,2
52,20260413_020350_audio-window-snn_grid_097_lr0_0003_bs16_hs64_ls16_mae,audio-window-snn_grid_097_lr0_0003_bs16_hs64_ls16_mae,audio-window,mae,0.0003,16,64,16,0.710585,0.709903,0.709903,0.709903,8,Success,,2
53,20260413_020607_audio-window-snn_grid_103_lr0_0003_bs16_hs128_ls16_mae,audio-window-snn_grid_103_lr0_0003_bs16_hs128_ls16_mae,audio-window,mae,0.0003,16,128,16,0.710585,0.709903,0.709903,0.709903,8,Success,,2
54,20260413_033739_audio-window-snn_grid_091_lr0_0003_bs16_hs32_ls16_mae,audio-window-snn_grid_091_lr0_0003_bs16_hs32_ls16_mae,audio-window,mae,0.0003,16,32,16,0.710585,0.709903,0.709903,0.709903,8,Success,,2
55,20260413_023401_audio-window-snn_grid_183_lr0_0005_bs32_hs32_ls32_mae,audio-window-snn_grid_183_lr0_0005_bs32_hs32_ls32_mae,audio-window,mae,0.0005,32,32,32,0.709459,0.710406,0.710406,0.710406,8,Success,,2
56,20260413_023621_audio-window-snn_grid_189_lr0_0005_bs32_hs64_ls32_mae,audio-window-snn_grid_189_lr0_0005_bs32_hs64_ls32_mae,audio-window,mae,0.0005,32,64,32,0.709459,0.710406,0.710406,0.710406,8,Success,,2
57,20260413_023859_audio-window-snn_grid_195_lr0_0005_bs32_hs128_ls32_mae,audio-window-snn_grid_195_lr0_0005_bs32_hs128_ls32_mae,audio-window,mae,0.0005,32,128,32,0.709459,0.710406,0.710406,0.710406,8,Success,,2
58,20260413_024100_audio-window-snn_grid_201_lr0_0005_bs64_hs32_ls32_mae,audio-window-snn_grid_201_lr0_0005_bs64_hs32_ls32_mae,audio-window,mae,0.0005,64,32,32,0.709459,0.710406,0.710406,0.710406,8,Success,,2
59,20260413_024339_audio-window-snn_grid_207_lr0_0005_bs64_hs64_ls32_mae,audio-window-snn_grid_207_lr0_0005_bs64_hs64_ls32_mae,audio-window,mae,0.0005,64,64,32,0.709459,0.710406,0.710406,0.710406,8,Success,,2
60,20260413_024607_audio-window-snn_grid_213_lr0_0005_bs64_hs128_ls32_mae,audio-window-snn_grid_213_lr0_0005_bs64_hs128_ls32_mae,audio-window,mae,0.0005,64,128,32,0.709459,0.710406,0.710406,0.710406,8,Success,,2
61,20260413_025146_audio-window-snn_grid_237_lr0_0010_bs16_hs32_ls32_mae,audio-window-snn_grid_237_lr0_0010_bs16_hs32_ls32_mae,audio-window,mae,0.0010,16,32,32,0.705786,0.710476,0.710476,0.710476,8,Success,,2
62,20260413_025251_audio-window-snn_grid_243_lr0_0010_bs16_hs64_ls32_mae,audio-window-snn_grid_243_lr0_0010_bs16_hs64_ls32_mae,audio-window,mae,0.0010,16,64,32,0.705786,0.710476,0.710476,0.710476,8,Success,,2
63,20260413_025509_audio-window-snn_grid_249_lr0_0010_bs16_hs128_ls32_mae,audio-window-snn_grid_249_lr0_0010_bs16_hs128_ls32_mae,audio-window,mae,0.0010,16,128,32,0.705786,0.710476,0.710476,0.710476,8,Success,,2
64,20260413_012419_audio-window-snn_grid_037_lr0_0001_bs32_hs32_ls16_mae,audio-window-snn_grid_037_lr0_0001_bs32_hs32_ls16_mae,audio-window,mae,0.0001,32,32,16,0.710071,0.710961,0.710961,0.710961,8,Success,,1
65,20260413_013425_audio-window-snn_grid_043_lr0_0001_bs32_hs64_ls16_mae,audio-window-snn_grid_043_lr0_0001_bs32_hs64_ls16_mae,audio-window,mae,0.0001,32,64,16,0.710071,0.710961,0.710961,0.710961,8,Success,,1
