backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.800000,1,42,7096950814052064792,0.046414,0.076628,-0.004463,0.000000,0.000000,0.000000,1.000000,376320.000000,46535.945312,201.859085,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.900000,1,42,7096950814052064792,0.054277,0.085512,-0.013555,0.000000,0.000000,0.000000,0.980469,376170.000000,73673.187500,121.121140,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.990000,1,42,7096950814052064792,0.076885,0.119660,-0.026913,0.000000,0.000000,0.000000,0.972396,376108.000000,17365.066406,187.282211,37286,36864
xtensor,article_snn_recurrent,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,2,43,7096950814052064792,0.118437,0.272378,-0.038780,0.000000,0.000000,0.000000,0.000000,85238400.000000,496598.906250,2030.100586,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.800000,2,43,7096950814052064792,0.153234,0.212609,-0.124496,0.000000,0.000000,0.000000,0.934245,375815.000000,13562.111328,164.903381,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.900000,2,43,7096950814052064792,0.185929,0.242966,-0.180702,0.000000,0.000000,0.000000,0.936979,375836.000000,27071.392578,9102.948242,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.990000,2,43,7096950814052064792,0.243737,0.307768,-0.298553,0.000000,0.000000,0.000000,0.893229,375500.000000,7044.918457,105.585213,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.800000,2,43,7096950814052064792,0.084132,0.120081,-0.056573,0.000000,0.000000,0.000000,0.977214,376145.000000,8552.000977,103.675049,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.900000,2,43,7096950814052064792,0.097385,0.140538,-0.063655,0.000000,0.000000,0.000000,0.981510,376178.000000,9962.826172,102.986763,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.990000,2,43,7096950814052064792,0.120268,0.163766,-0.098520,0.000000,0.000000,0.000000,0.972396,376108.000000,10562.363281,114.556862,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.800000,2,43,7096950814052064792,0.046349,0.061158,-0.023911,0.000000,0.000000,0.000000,0.996094,376290.000000,4264.595703,126.999786,37286,36864
