backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.800000,2,43,9783383050935234930,0.120693,0.214452,-0.058583,1.000000,0.500000,0.666667,0.890495,375479.000000,4303.280762,5.739517,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.900000,2,43,9783383050935234930,0.117033,0.199663,-0.026479,1.000000,0.500000,0.666667,0.986589,376217.000000,1711.647217,2.146723,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.990000,2,43,9783383050935234930,0.123359,0.233541,-0.081962,1.000000,0.500000,0.666667,0.995182,376283.000000,4422.973633,5.304613,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,3,44,9783383050935234930,0.111387,0.233581,0.017269,0.000000,0.000000,0.000000,0.000000,11842560.000000,165280.968750,302.840088,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.800000,3,44,9783383050935234930,0.116211,0.208321,-0.025293,1.000000,0.500000,0.666667,0.971615,376102.000000,3916.597168,14.219753,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.900000,3,44,9783383050935234930,0.120192,0.221019,-0.060417,1.000000,0.500000,0.666667,0.981120,376175.000000,4512.747070,3.148460,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,0.500000,0.990000,3,44,9783383050935234930,0.153930,0.298669,-0.358076,1.000000,0.500000,0.666667,0.995703,376287.000000,6797.666992,2.264824,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.800000,3,44,9783383050935234930,0.126542,0.235925,-0.116443,1.000000,0.500000,0.666667,0.895312,375516.000000,4572.993652,2.407441,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.900000,3,44,9783383050935234930,0.116157,0.192852,-0.024819,1.000000,0.500000,0.666667,0.985026,376205.000000,1265.526001,3.674717,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.000000,0.990000,3,44,9783383050935234930,0.117387,0.223310,-0.035669,1.000000,0.500000,0.666667,0.994531,376278.000000,3816.950684,7.198995,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.800000,3,44,9783383050935234930,0.120820,0.212807,-0.065959,1.000000,0.500000,0.666667,0.909766,375627.000000,3848.152100,3.243166,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.900000,3,44,9783383050935234930,0.127197,0.233658,-0.122217,1.000000,0.500000,0.666667,0.884115,375430.000000,5307.364746,3.741904,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,poisson,dense,2,1.500000,0.990000,3,44,9783383050935234930,0.132463,0.278579,-0.168679,1.000000,0.500000,0.666667,0.979557,376163.000000,5429.785156,4.397927,37286,36864
xtensor,article_snn_dense,fsdd,lstm-ae,latency,lstm,1,0.000000,0.000000,1,42,9783383050935234930,0.101859,0.211790,0.587181,0.000000,0.000000,0.000000,0.000000,11842560.000000,99816.406250,257.311768,122472,1184256
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,0.500000,0.800000,1,42,9783383050935234930,0.109117,0.222605,0.557769,0.500000,0.500000,0.500000,0.838151,375077.000000,5606.105957,3.666476,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,0.500000,0.900000,1,42,9783383050935234930,0.118903,0.237403,0.518106,1.000000,0.500000,0.666667,0.865104,375284.000000,2916.192139,5.553387,37286,36864
xtensor,article_snn_dense,fsdd,snn-ae,latency,dense,2,0.500000,0.990000,1,42,9783383050935234930,0.124997,0.251241,0.493407,0.333333,0.500000,0.400000,0.873828,375351.000000,2430.879150,2.246874,37286,36864
