model,encoding,architecture,v_th,alpha,run_id,seed,cv_fold,split,speaker_id,recording_id,window_id,source_window_index,mse,mae
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2064,28894,0,0.00039541,0.00613658
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2064,28895,1,0.20082805,0.26270208
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2064,28896,2,0.21664105,0.27967888
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2065,28901,0,0.00047528,0.00650145
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2065,28902,1,0.25403291,0.31146255
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2065,28903,2,0.36017224,0.41340998
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2066,28908,0,0.01453963,0.03960088
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2066,28909,1,0.26626527,0.32733035
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2066,28910,2,0.30528206,0.35282740
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2067,28914,0,0.00115184,0.00567480
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2067,28915,1,0.25089106,0.31196937
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2067,28916,2,0.21571521,0.27918640
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2068,28922,0,0.00132273,0.00898789
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2068,28923,1,0.27408975,0.33424139
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2068,28924,2,0.23837766,0.30128142
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2069,28928,0,0.00032801,0.00472291
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2069,28929,1,0.23143518,0.29072237
lstm-ae,,lstm,0.00000000,0.00000000,5,46,5,test,5,2069,28930,2,0.26828563,0.32905337
