backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,split,cv_fold,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,0.500000,0.990000,2,43,1327769346908022152,val,3,0.006681,0.040874,0.990876,0.000000,0.000000,0.000000,0.075013,374401.000000,34339.574219,12.427466,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.000000,0.800000,2,43,1327769346908022152,val,3,0.009710,0.053339,0.986740,0.000000,0.000000,0.000000,0.083281,375036.000000,8860.726562,12.396177,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.000000,0.900000,2,43,1327769346908022152,val,3,0.007317,0.045585,0.990008,0.000000,0.000000,0.000000,0.078216,374647.000000,9162.899414,12.226881,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.000000,0.990000,2,43,1327769346908022152,val,3,0.007657,0.046967,0.989544,0.000000,0.000000,0.000000,0.078737,374687.000000,8919.827148,11.779267,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.500000,0.800000,2,43,1327769346908022152,val,3,0.012149,0.046866,0.983410,0.000000,0.000000,0.000000,0.086966,375319.000000,34094.480469,11.910429,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.500000,0.900000,2,43,1327769346908022152,val,3,0.013150,0.048403,0.982043,0.000000,0.000000,0.000000,0.087292,375344.000000,34358.109375,25.717615,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,conv1d,2,1.500000,0.990000,2,43,1327769346908022152,val,3,0.008579,0.055748,0.988284,0.000000,0.000000,0.000000,0.076159,374489.000000,16532.357422,12.721220,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.800000,2,43,1327769346908022152,val,3,0.001893,0.008835,0.979393,0.000000,0.000000,0.000000,0.549648,410853.000000,97474.085938,882.866211,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.900000,2,43,1327769346908022152,val,3,0.001336,0.011619,0.987476,0.000000,0.000000,0.000000,0.370352,397083.000000,65101.527344,825.217834,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,0.500000,0.990000,2,43,1327769346908022152,val,3,0.000314,0.005532,0.998212,0.000000,0.000000,0.000000,0.569128,412349.000000,65532.621094,968.717224,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.800000,2,43,1327769346908022152,val,3,0.001403,0.008415,0.981464,0.000000,0.000000,0.000000,0.518190,408437.000000,97076.476562,908.745178,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.900000,2,43,1327769346908022152,val,3,0.000745,0.006273,0.991845,0.000000,0.000000,0.000000,0.504128,407357.000000,43311.996094,846.048401,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.000000,0.990000,2,43,1327769346908022152,val,3,0.002415,0.008836,0.980826,0.000000,0.000000,0.000000,0.567148,412197.000000,107456.140625,893.088684,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.800000,2,43,1327769346908022152,val,3,0.000870,0.004871,0.986649,0.000000,0.000000,0.000000,0.474635,405092.000000,71426.835938,844.853333,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,2,43,1327769346908022152,val,3,0.000269,0.001961,0.996434,0.000000,0.000000,0.000000,0.418646,400792.000000,59529.511719,868.162476,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.990000,2,43,1327769346908022152,val,3,0.001556,0.009860,0.984042,0.000000,0.000000,0.000000,0.594362,414287.000000,85536.820312,927.466248,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,recurrent,2,1.500000,0.900000,2,43,1327769346908022152,test,3,0.238265,0.279685,-1.631035,0.000000,0.000000,0.000000,0.568435,586919.000000,139474.937500,917.341675,37286,36864
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,3,44,1327769346908022152,val,3,0.013795,0.060463,0.986206,0.000000,0.000000,0.000000,0.000000,11842560.000000,547708.000000,1737.921509,122472,1184256
xtensor,meeting01_loso,fsdd,lstm-ae,direct,lstm,1,0.000000,0.000000,3,44,1327769346908022152,test,3,1.280855,0.684370,-0.280755,0.000000,0.000000,0.000000,0.000000,11842560.000000,0.000000,0.000000,122472,1184256
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,3,44,1327769346908022152,val,3,0.012556,0.056844,0.987444,0.000000,0.000000,0.000000,0.000000,8893440.000000,504064.406250,2807.266846,93032,889344
xtensor,meeting01_loso,fsdd,gru-ae,direct,gru,1,0.000000,0.000000,3,44,1327769346908022152,test,3,1.326848,0.691100,-0.326773,0.000000,0.000000,0.000000,0.000000,8893440.000000,0.000000,0.000000,93032,889344
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,3,44,1327769346908022152,val,3,0.012748,0.055913,0.987252,0.000000,0.000000,0.000000,0.000000,47554560.000000,153703.296875,461.196594,139176,4755456
xtensor,meeting01_loso,fsdd,transformer-ae,direct,transformer,1,0.000000,0.000000,3,44,1327769346908022152,test,3,1.016620,0.648877,-0.016520,0.000000,0.000000,0.000000,0.000000,47554560.000000,0.000000,0.000000,139176,4755456
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.800000,3,44,1327769346908022152,val,3,0.017788,0.088907,0.982212,0.000000,0.000000,0.000000,0.067422,373818.000000,9109.351562,11.865173,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.900000,3,44,1327769346908022152,val,3,0.018597,0.090820,0.981403,0.000000,0.000000,0.000000,0.076706,374531.000000,7838.844727,28.908537,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,0.500000,0.990000,3,44,1327769346908022152,val,3,0.013149,0.058843,0.986851,0.000000,0.000000,0.000000,0.056836,373005.000000,9156.961914,11.945490,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.800000,3,44,1327769346908022152,val,3,0.013972,0.072510,0.986028,0.000000,0.000000,0.000000,0.061888,373393.000000,9075.154297,11.431876,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.900000,3,44,1327769346908022152,val,3,0.016501,0.086690,0.983499,0.000000,0.000000,0.000000,0.075794,374461.000000,7808.747070,11.737432,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.000000,0.990000,3,44,1327769346908022152,val,3,0.011823,0.052059,0.988177,0.000000,0.000000,0.000000,0.049440,372437.000000,16735.460938,10.975531,37286,36864
xtensor,meeting01_loso,fsdd,snn-ae,direct,dense,2,1.500000,0.800000,3,44,1327769346908022152,val,3,0.020088,0.094281,0.979911,0.000000,0.000000,0.000000,0.094128,375869.000000,7687.311035,10.873981,37286,36864
