born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
2,3,9,85-47-9,direct,1,1,0.196576,0.916446,-0.719871,0.113022,1.72358,1.79626,0.00525087,0.31019,52885,26178,0.052356,1,0
2,6,1,112-81-35-22-15-1,direct,1,1,0.161756,0.864815,-0.703059,0.0265711,1.70327,1.72232,0.00249723,0.284972,84175,41694,0.083388,1,0
3,3,46,120-111-46,direct,1,1,0.269535,0.925037,-0.655503,0.194572,1.6669,1.78279,0.00139758,0.238983,99056,49146,0.098292,1,0
3,6,1,111-55-40-22-15-1,direct,1,1,0.160769,0.861772,-0.701003,0.0225416,1.70115,1.71962,0.00420631,0.328007,76635,37946,0.075892,1,0
3,2,38,63-38,direct,1,1,0.282341,0.924272,-0.641932,0.206613,1.65488,1.79193,0.0116848,0.225162,37464,18522,0.037044,1,0
3,6,1,83-78-55-35-22-1,direct,1,1,0.172707,0.866138,-0.693431,0.0388442,1.69388,1.7221,0.00397526,0.369534,70261,34729,0.069458,1,0
3,5,15,111-55-35-30-15,direct,1,1,0.182221,0.915203,-0.732982,0.0974238,1.73572,1.80138,0.00919406,0.187838,76625,37946,0.075892,1,0
3,6,3,101-91-84-77-43-3,direct,1,1,0.234675,0.912831,-0.678156,0.147506,1.68463,1.80567,0.0262091,0.384542,106249,52599,0.105198,1,0
3,6,35,109-96-70-50-42-35,direct,1,1,0.272726,0.918477,-0.645751,0.191203,1.65682,1.7809,0.0092979,0.194823,105341,52158,0.104316,1,0
3,6,26,109-70-69-67-35-26,direct,1,1,0.23612,0.922624,-0.686505,0.158744,1.69396,1.79494,0.00623124,0.238582,97466,48242,0.096484,1,0
3,2,79,112-79,direct,1,1,0.283993,0.928483,-0.64449,0.212475,1.65816,1.78995,0.00523376,0.192375,75599,37520,0.07504,1,0
3,3,79,107-83-79,direct,1,1,0.265572,0.926276,-0.660704,0.191847,1.67175,1.78846,0.00336133,0.17918,86375,42830,0.08566,1,0
3,5,1,111-55-40-30-1,direct,1,1,0.157619,0.862566,-0.704947,0.0201854,1.70507,1.71884,0.00176128,0.25363,76631,37951,0.075902,1,0
