born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
8,1,29,29,poisson,16,0.2,0.243405,0.9223,-0.678895,0.165705,1.68705,1.79987,0.0111867,0.222235,15133,118784,0.237568,1,0
8,2,3,49-3,poisson,16,0.2,0.222819,0.924824,-0.702005,0.147643,1.7084,1.80815,0.0129026,0.135755,25739,203056,0.406112,1,0
8,1,45,45,poisson,16,0.2,0.258958,0.931464,-0.672505,0.190422,1.68331,1.79704,0.00294732,0.235875,23341,184320,0.36864,1,0
8,1,79,79,poisson,16,0.2,0.285363,0.936458,-0.651095,0.22182,1.66593,1.7998,0.00308185,0.249265,40783,323584,0.647168,1,0
8,2,49,53-49,poisson,16,0.2,0.265578,0.935666,-0.670088,0.201244,1.68217,1.8035,0.00377946,0.269053,32741,258640,0.51728,1,0
9,1,78,78,poisson,16,0.2,0.270001,0.934977,-0.664976,0.204978,1.67755,1.79888,0.00112501,0.25211,40270,319488,0.638976,1,0
9,2,30,49-30,poisson,16,0.2,0.286734,0.932368,-0.645633,0.219102,1.66016,1.79932,0.00782994,0.231547,28412,224224,0.448448,1,0
9,2,49,101-49,poisson,16,0.2,0.262902,0.938163,-0.675261,0.201065,1.68728,1.80675,0.00121626,0.320216,62117,492880,0.98576,1,0
9,1,73,73,poisson,16,0.2,0.289995,0.936921,-0.646926,0.226916,1.66249,1.79806,0.00258131,0.246554,37705,299008,0.598016,1,0
9,2,6,10-6,poisson,16,0.2,0.214377,0.938338,-0.723961,0.152715,1.73071,1.82893,0.00679848,0.122571,5522,41920,0.08384,1,0
9,1,63,63,poisson,16,0.2,0.259892,0.932008,-0.672116,0.191901,1.68309,1.79847,0.00218971,0.242043,32575,258048,0.516096,1,0
10,1,5,5,poisson,16,0.2,0.146805,0.911984,-0.765179,0.058789,1.76616,1.81553,0.0108066,0.0620006,2821,20480,0.04096,1,0
10,2,16,30-16,poisson,16,0.2,0.2579,0.9313,-0.6734,0.1892,1.68406,1.80799,0.00966901,0.190543,16652,130560,0.26112,1,0
10,2,29,109-29,poisson,16,0.2,0.282965,0.937516,-0.654551,0.220481,1.66918,1.80435,0.00432364,0.338794,62633,497040,0.99408,1,0
10,1,48,48,poisson,16,0.2,0.268291,0.929878,-0.661587,0.198168,1.67336,1.7955,0.00472689,0.231425,24880,196608,0.393216,1,0
11,1,4,4,poisson,16,0.2,0.183634,0.929497,-0.745864,0.113131,1.74953,1.82015,0.00408967,0.0416273,2308,16384,0.032768,1,0
11,1,37,37,poisson,16,0.2,0.220138,0.925669,-0.70553,0.145807,1.71175,1.79828,0.00107981,0.218909,19237,151552,0.303104,1,0
11,1,106,106,poisson,16,0.2,0.276136,0.93797,-0.661834,0.214107,1.67557,1.80343,0.00197733,0.257225,54634,434176,0.868352,1,0
11,1,3,3,poisson,16,0.2,0.206715,0.934744,-0.728029,0.14146,1.73381,1.82693,0.00731493,0.0247131,1795,12288,0.024576,1,0
11,1,86,86,poisson,16,0.2,0.275012,0.938512,-0.6635,0.213524,1.67715,1.80292,0.000725648,0.253216,44374,352256,0.704512,1,0
12,1,9,9,poisson,16,0.2,0.153822,0.915403,-0.761581,0.0692249,1.76294,1.81487,0.0106755,0.122855,4873,36864,0.073728,1,0
12,1,110,110,poisson,16,0.2,0.271495,0.93807,-0.666575,0.209565,1.6797,1.80478,0.00284218,0.255747,56686,450560,0.90112,1,0
12,1,70,70,poisson,16,0.2,0.280564,0.9363,-0.655736,0.216864,1.66988,1.79881,0.00137624,0.247124,36166,286720,0.57344,1,0
12,2,33,48-33,poisson,16,0.2,0.258787,0.934889,-0.676101,0.193676,1.68725,1.80452,0.00394886,0.234815,28129,221952,0.443904,1,0
12,1,41,41,poisson,16,0.2,0.231779,0.928042,-0.696263,0.159822,1.70378,1.79984,0.00243416,0.239763,21289,167936,0.335872,1,0
12,1,119,119,poisson,16,0.2,0.279777,0.938685,-0.658909,0.218462,1.67323,1.80266,0.00191883,0.257126,61303,487424,0.974848,1,0
12,2,92,111-92,poisson,16,0.2,0.276917,0.938962,-0.662046,0.215879,1.67601,1.80336,0.000662035,0.29246,77826,618048,1.2361,1,0
