born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
10,1,5,5,latency,16,0.2,0.153547,0.914048,-0.7605,0.0675949,1.7618,1.82289,0.0157801,0.106518,2821,20480,0.04096,1,0
10,3,3,16-6-3,latency,16,0.2,0.0947101,0.901896,-0.807186,-0.00339396,1.80719,1.8312,0.0274024,0.200788,8723,67360,0.13472,1,0
10,2,8,109-8,latency,16,0.2,0.226458,0.930341,-0.703882,0.156799,1.71108,1.80681,0.00413011,0.308928,58034,460416,0.920832,1,0
10,1,48,48,latency,16,0.2,0.261633,0.92791,-0.666277,0.189543,1.67702,1.79557,0.00557522,0.208151,24880,196608,0.393216,1,0
11,1,4,4,latency,16,0.2,0.153719,0.911905,-0.758185,0.0656241,1.75941,1.80483,0.00655915,0.118295,2308,16384,0.032768,1,0
11,1,37,37,latency,16,0.2,0.253062,0.927134,-0.674072,0.180196,1.68374,1.79374,0.00355214,0.199006,19237,151552,0.303104,1,0
11,1,106,106,latency,16,0.2,0.275208,0.933925,-0.658717,0.209133,1.67185,1.79576,0.00126632,0.216937,54634,434176,0.868352,1,0
11,1,3,3,latency,16,0.2,0.127597,0.903175,-0.775577,0.030772,1.77584,1.80226,0.00797368,0.101552,1795,12288,0.024576,1,0
11,1,86,86,latency,16,0.2,0.276243,0.934387,-0.658144,0.21063,1.67147,1.79627,0.00177342,0.216217,44374,352256,0.704512,1,0
12,1,9,9,latency,16,0.2,0.157915,0.915256,-0.75734,0.0731711,1.75886,1.81503,0.0105728,0.115436,4873,36864,0.073728,1,0
12,1,110,110,latency,16,0.2,0.282316,0.934346,-0.65203,0.216662,1.66618,1.796,0.0023167,0.2182,56686,450560,0.90112,1,0
12,1,70,70,latency,16,0.2,0.265475,0.932566,-0.667091,0.198041,1.67881,1.7968,0.00144978,0.209807,36166,286720,0.57344,1,0
12,2,21,33-21,latency,16,0.2,0.222377,0.932288,-0.709911,0.154665,1.71689,1.81341,0.00673881,0.255129,18625,146256,0.292512,1,0
12,1,41,41,latency,16,0.2,0.256909,0.924439,-0.66753,0.181347,1.67736,1.79903,0.0118571,0.212966,21289,167936,0.335872,1,0
12,1,119,119,latency,16,0.2,0.292539,0.935552,-0.643013,0.228091,1.65877,1.79645,0.0038576,0.21645,61303,487424,0.974848,1,0
12,2,92,111-92,latency,16,0.2,0.282019,0.9359,-0.653881,0.217919,1.66818,1.79949,0.00262229,0.311295,77826,618048,1.2361,1,0
