born_generation,depth,latent,encoder_widths,encoding,time_steps,voltage_threshold,winning_seed_offset,alpha,beta,g1,g2,d_truth,d_penalized_mean,d_penalized_std,latent_activity,param_count,inference_cost,est_latency_ms,feasible,constraint_violation
34,3,2,52-3-2,direct,1,1,2,0.0487195,0.906548,-0.857828,-0.0447329,1.85837,1.88966,0.00492927,1.17943,27316,13474,0.026948,1,0
34,3,2,85-3-2,direct,1,1,1,0.126302,0.898743,-0.772441,0.0250457,1.77262,1.82823,0.0427847,0.98825,44476,22021,0.044042,1,0
34,3,3,72-13-3,direct,1,1,0,0.177933,0.918078,-0.740144,0.0960109,1.74279,1.80339,0.00463368,0.532864,39243,19407,0.038814,1,0
34,3,3,85-74-3,direct,1,1,1,0.220605,0.924515,-0.70391,0.14512,1.71008,1.82197,0.0194186,0.479543,57121,28272,0.056544,1,0
34,1,9,9,direct,1,1,0,0.245216,0.919297,-0.674081,0.164514,1.68215,1.79678,0.0145062,0.36819,4873,2304,0.004608,1,0
34,3,40,85-62-40,direct,1,1,2,0.262224,0.933714,-0.67149,0.195938,1.68293,1.79936,0.0016336,0.231874,59610,29510,0.05902,1,0
34,2,65,72-65,direct,1,1,2,0.279995,0.93442,-0.654425,0.214415,1.66826,1.79571,0.00229934,0.212263,46689,23112,0.046224,1,0
34,2,31,74-31,direct,1,1,0,0.267691,0.934148,-0.666457,0.201839,1.67864,1.79857,0.00163158,0.267086,42911,21238,0.042476,1,0
34,2,1,3-1,direct,1,1,1,0.0533956,0.902513,-0.849118,-0.0440911,1.84964,1.88576,0.0099034,0.268347,1805,771,0.001542,1,0
34,2,3,89-3,direct,1,1,0,0.212611,0.92015,-0.707539,0.132761,1.71269,1.80946,0.0135711,0.49971,46539,23051,0.046102,1,0
34,2,3,14-3,direct,1,1,1,0.164853,0.88933,-0.724477,0.0541831,1.72533,1.79375,0.0259736,0.523522,7539,3626,0.007252,1,0
34,4,2,102-85-53-2,direct,1,1,0,0.138313,0.908664,-0.770351,0.0469772,1.77097,1.82755,0.0273375,0.657516,79524,39393,0.078786,1,0
34,3,1,116-3-1,direct,1,1,1,0.049512,0.908995,-0.859483,-0.0414933,1.85995,1.88998,0.00411557,0.65771,60589,30047,0.060094,1,0
34,2,8,85-8,direct,1,1,1,0.248257,0.923082,-0.674825,0.171339,1.68357,1.7943,0.00808409,0.343195,45314,22440,0.04488,1,0
34,2,5,6-5,direct,1,1,0,0.15041,0.918889,-0.768479,0.0692987,1.76984,1.82121,0.00844533,0.4049,3405,1566,0.003132,1,0
34,2,6,31-6,direct,1,1,0,0.211332,0.914528,-0.703196,0.125861,1.70784,1.78939,0.00587839,0.449671,16568,8122,0.016244,1,0
35,1,13,13,direct,1,1,2,0.262406,0.925407,-0.663001,0.187813,1.67357,1.78913,0.00403288,0.353113,6925,3328,0.006656,1,0
35,2,13,117-13,direct,1,1,1,0.255346,0.929446,-0.6741,0.184792,1.68427,1.80378,0.00812089,0.328969,63449,31473,0.062946,1,0
35,4,2,66-18-3-2,direct,1,1,0,0.090407,0.9125,-0.822093,0.00290699,1.8221,1.86299,0.0300044,0.549611,36720,18144,0.036288,1,0
