Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
76	:	1776120495.339	    96.339	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_075_lr0.0001_bs8_hs16_ls16_mse_mb32_ep5_lp0.json
55	:	1776120018.917	   597.237	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_054_lr0.0001_bs8_hs16_ls8_mae_mb64_ep15_lp1.json
56	:	1776120019.986	   598.973	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_055_lr0.0001_bs8_hs16_ls8_mae_mb64_ep15_lp0.json
81	:	1776120590.521	    79.394	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_080_lr0.0001_bs8_hs16_ls16_mse_mb64_ep2_lp1.json
82	:	1776120591.796	    79.831	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_081_lr0.0001_bs8_hs16_ls16_mse_mb64_ep2_lp0.json
77	:	1776120501.080	   191.830	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_076_lr0.0001_bs8_hs16_ls16_mse_mb32_ep10_lp1.json
78	:	1776120507.344	   192.961	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_077_lr0.0001_bs8_hs16_ls16_mse_mb32_ep10_lp0.json
61	:	1776120140.176	   601.193	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_060_lr0.0001_bs8_hs16_ls8_mae_mb128_ep10_lp1.json
62	:	1776120140.183	   602.036	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_061_lr0.0001_bs8_hs16_ls8_mae_mb128_ep10_lp0.json
63	:	1776120155.083	   601.031	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_062_lr0.0001_bs8_hs16_ls8_mae_mb128_ep15_lp1.json
64	:	1776120161.639	   601.455	0	0	-1	15	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_063_lr0.0001_bs8_hs16_ls8_mae_mb128_ep15_lp0.json
83	:	1776120616.605	   196.901	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_082_lr0.0001_bs8_hs16_ls16_mse_mb64_ep5_lp1.json
80	:	1776120524.255	   289.525	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_079_lr0.0001_bs8_hs16_ls16_mse_mb32_ep15_lp0.json
79	:	1776120523.977	   291.388	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_078_lr0.0001_bs8_hs16_ls16_mse_mb32_ep15_lp1.json
84	:	1776120619.531	   197.263	0	0	0	0	/home/ensismoebius/Repos/doutorado/software/nn/out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile ../profiles/snnProfiles/audio-window-snn_grid_083_lr0.0001_bs8_hs16_ls16_mse_mb64_ep5_lp0.json
