backend,profile,dataset,model,encoding,architecture,layers,v_th,alpha,run,seed,config_hash,mse,mae,r2,precision,recall,f1,spike_rate,energy,train_ms,infer_ms,param_count,macs
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.990000,1,42,3101891589530776636,0.193296,0.365499,-0.028394,0.500000,1.000000,0.666667,0.960677,376018.000000,14815.025391,87.194572,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.800000,1,42,3101891589530776636,0.084985,0.160671,-0.062880,0.000000,0.000000,0.000000,0.970573,376094.000000,11818.115234,88.049294,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.900000,1,42,3101891589530776636,0.093323,0.158098,-0.025111,0.000000,0.000000,0.000000,0.976302,376138.000000,2993.966309,86.526955,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.990000,1,42,3101891589530776636,0.112997,0.202627,-0.033120,1.000000,0.500000,0.666667,0.982552,376186.000000,3451.862061,91.459740,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.800000,1,42,3101891589530776636,0.046357,0.097473,-0.003237,0.000000,0.000000,0.000000,0.992188,376260.000000,4450.352051,87.854721,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.900000,1,42,3101891589530776636,0.054229,0.109717,-0.012673,0.000000,0.000000,0.000000,0.992188,376260.000000,4471.749023,85.338173,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.990000,1,42,3101891589530776636,0.078667,0.158142,-0.050717,0.000000,0.000000,0.000000,0.976432,376139.000000,9466.756836,89.748260,37286,36864
xtensor,article_snn_recurrent,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,2,43,3101891589530776636,0.113635,0.215894,0.003319,0.000000,0.000000,0.000000,0.000000,85238400.000000,343769.625000,1432.519897,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.800000,2,43,3101891589530776636,0.153466,0.282813,-0.126195,0.333333,0.500000,0.400000,0.910417,375632.000000,13573.602539,94.107162,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.900000,2,43,3101891589530776636,0.169036,0.320939,-0.073414,0.333333,0.500000,0.400000,0.960807,376019.000000,11958.599609,86.921631,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.990000,2,43,3101891589530776636,0.195401,0.366995,-0.041033,0.500000,1.000000,0.666667,0.970573,376094.000000,9897.088867,86.651550,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.800000,2,43,3101891589530776636,0.081156,0.149711,-0.019193,0.000000,0.000000,0.000000,0.975781,376134.000000,7438.547363,85.019699,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.900000,2,43,3101891589530776636,0.092752,0.175360,-0.013056,1.000000,0.500000,0.666667,0.990104,376244.000000,6429.134766,88.413445,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.990000,2,43,3101891589530776636,0.132932,0.256902,-0.214192,1.000000,0.500000,0.666667,0.989193,376237.000000,14854.527344,92.811737,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.800000,2,43,3101891589530776636,0.046000,0.097464,-0.016202,0.000000,0.000000,0.000000,0.988281,376230.000000,3972.548340,84.687317,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.900000,2,43,3101891589530776636,0.054373,0.112068,-0.010975,0.000000,0.000000,0.000000,0.992188,376260.000000,4942.540527,87.324478,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.990000,2,43,3101891589530776636,0.075066,0.153116,-0.008553,0.000000,0.000000,0.000000,0.996094,376290.000000,4905.631836,87.261971,37286,36864
xtensor,article_snn_recurrent,fsdd,lstm-ae,poisson,lstm,1,0.000000,0.000000,3,44,3101891589530776636,0.113351,0.230305,-0.000075,0.000000,0.000000,0.000000,0.000000,85238400.000000,508304.218750,1483.415771,120225,8523840
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.800000,3,44,3101891589530776636,0.164157,0.305754,-0.220538,0.333333,0.500000,0.400000,0.933464,375809.000000,15155.527344,126.268105,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.900000,3,44,3101891589530776636,0.165834,0.302572,-0.059891,0.500000,0.500000,0.500000,0.956120,375983.000000,11082.754883,88.921127,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,0.500000,0.990000,3,44,3101891589530776636,0.195049,0.372914,-0.044297,0.500000,1.000000,0.666667,0.967839,376073.000000,12107.474609,87.388107,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.800000,3,44,3101891589530776636,0.080108,0.149120,-0.015674,0.000000,0.000000,0.000000,0.983854,376196.000000,3463.473145,91.873627,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.900000,3,44,3101891589530776636,0.101124,0.192849,-0.115911,0.000000,0.000000,0.000000,0.929688,375780.000000,15340.285156,86.854027,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.000000,0.990000,3,44,3101891589530776636,0.120371,0.243333,-0.108370,1.000000,0.500000,0.666667,0.990885,376250.000000,15189.157227,86.036880,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.800000,3,44,3101891589530776636,0.044660,0.093563,-0.012992,0.000000,0.000000,0.000000,0.984375,376200.000000,5564.591309,89.333405,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.900000,3,44,3101891589530776636,0.053340,0.111621,-0.013541,0.000000,0.000000,0.000000,0.996094,376290.000000,5053.530762,88.927979,37286,36864
xtensor,article_snn_recurrent,fsdd,snn-ae,poisson,recurrent,2,1.500000,0.990000,3,44,3101891589530776636,0.075124,0.152425,-0.010865,0.000000,0.000000,0.000000,0.996094,376290.000000,9425.101562,91.772980,37286,36864
xtensor,article_snn_recurrent,fsdd,lstm-ae,latency,lstm,1,0.000000,0.000000,1,42,3101891589530776636,0.245525,0.488018,0.004944,0.000000,0.000000,0.000000,0.000000,85238400.000000,295005.000000,1489.566162,120225,8523840
