Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
60	:	1776056445.229	   195.401	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_100_lr0.0003_bs16_hs64_ls64_mse.json
59	:	1776056439.183	   221.722	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_099_lr0.0003_bs16_hs64_ls32_mae.json
61	:	1776056462.598	   221.246	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_101_lr0.0003_bs16_hs64_ls64_mae.json
62	:	1776056523.257	   193.532	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_102_lr0.0003_bs16_hs128_ls16_mse.json
64	:	1776056566.783	   197.683	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_104_lr0.0003_bs16_hs128_ls32_mse.json
63	:	1776056546.019	   221.519	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_103_lr0.0003_bs16_hs128_ls16_mae.json
66	:	1776056599.102	   195.269	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_106_lr0.0003_bs16_hs128_ls64_mse.json
65	:	1776056582.981	   218.953	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_105_lr0.0003_bs16_hs128_ls32_mae.json
67	:	1776056600.890	   218.321	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_107_lr0.0003_bs16_hs128_ls64_mae.json
68	:	1776056610.755	   276.214	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_108_lr0.0003_bs32_hs32_ls16_mse.json
70	:	1776056630.960	   271.675	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_110_lr0.0003_bs32_hs32_ls32_mse.json
72	:	1776056660.913	   270.381	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_112_lr0.0003_bs32_hs32_ls64_mse.json
69	:	1776056612.517	   327.462	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_109_lr0.0003_bs32_hs32_ls16_mae.json
71	:	1776056640.645	   321.246	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_111_lr0.0003_bs32_hs32_ls32_mae.json
74	:	1776056716.802	   266.384	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_114_lr0.0003_bs32_hs64_ls16_mse.json
73	:	1776056683.857	   322.876	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_113_lr0.0003_bs32_hs32_ls64_mae.json
76	:	1776056767.553	   269.937	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_116_lr0.0003_bs32_hs64_ls32_mse.json
78	:	1776056801.954	   265.572	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_118_lr0.0003_bs32_hs64_ls64_mse.json
75	:	1776056764.477	   315.914	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_115_lr0.0003_bs32_hs64_ls16_mae.json
77	:	1776056794.390	   320.847	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_117_lr0.0003_bs32_hs64_ls32_mae.json
79	:	1776056819.226	   317.253	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_119_lr0.0003_bs32_hs64_ls64_mae.json
80	:	1776056886.978	   266.880	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_120_lr0.0003_bs32_hs128_ls16_mse.json
82	:	1776056931.310	   270.230	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_122_lr0.0003_bs32_hs128_ls32_mse.json
81	:	1776056902.654	   319.932	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_121_lr0.0003_bs32_hs128_ls16_mae.json
84	:	1776056961.903	   266.859	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_124_lr0.0003_bs32_hs128_ls64_mse.json
83	:	1776056939.994	   319.222	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_123_lr0.0003_bs32_hs128_ls32_mae.json
86	:	1776057006.753	   266.423	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_126_lr0.0003_bs64_hs32_ls16_mse.json
85	:	1776056983.195	   318.235	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_125_lr0.0003_bs32_hs128_ls64_mae.json
88	:	1776057067.535	   264.195	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_128_lr0.0003_bs64_hs32_ls32_mse.json
87	:	1776057037.503	   320.223	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_127_lr0.0003_bs64_hs32_ls16_mae.json
90	:	1776057115.254	   273.348	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_130_lr0.0003_bs64_hs32_ls64_mse.json
89	:	1776057080.399	   317.850	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_129_lr0.0003_bs64_hs32_ls32_mae.json
92	:	1776057153.877	   269.076	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_132_lr0.0003_bs64_hs64_ls16_mse.json
91	:	1776057136.488	   320.894	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_131_lr0.0003_bs64_hs32_ls64_mae.json
94	:	1776057222.609	   267.077	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_134_lr0.0003_bs64_hs64_ls32_mse.json
93	:	1776057201.552	   321.493	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_133_lr0.0003_bs64_hs64_ls16_mae.json
96	:	1776057259.225	   272.524	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_136_lr0.0003_bs64_hs64_ls64_mse.json
95	:	1776057228.780	   320.831	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_135_lr0.0003_bs64_hs64_ls32_mae.json
98	:	1776057301.440	   268.810	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_138_lr0.0003_bs64_hs128_ls16_mse.json
97	:	1776057273.192	   326.624	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_137_lr0.0003_bs64_hs64_ls64_mae.json
104	:	1776057457.401	   161.023	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_144_lr0.0005_bs8_hs32_ls16_mse.json
100	:	1776057357.742	   284.372	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_140_lr0.0003_bs64_hs128_ls32_mse.json
99	:	1776057331.748	   334.429	0	0	0	0	./out/build/Clang_20.1.8_x86_64-pc-linux-gnu/src/experiments/03/experiment03 --profile src/experiments/03/profiles/tests/audio-window-snn_grid_139_lr0.0003_bs64_hs128_ls16_mae.json
